tipo_aviso,tipo_orden,area,planta,fecha,costo_total,trabajo_real
breakdown,CO2,AR-17,PL-6,2018-09-17,4127739.98,29.400000000000002
breakdown,CO2,AR-17,PL-6,2018-09-24,26856047.0,11.0
breakdown,CO2,AR-17,PL-6,2018-10-01,453420.0,13.7
breakdown,CO2,AR-17,PL-6,2018-10-15,662199.96,65.3
breakdown,CO2,AR-17,PL-6,2018-10-29,8996870.42,48.1
breakdown,CO2,AR-17,PL-6,2018-11-05,25878463.95,53.3
breakdown,CO2,AR-17,PL-6,2018-11-12,6034722.649999999,95.39999999999998
breakdown,CO2,AR-17,PL-6,2018-11-19,824328.0,20.4
breakdown,CO2,AR-17,PL-6,2018-11-26,17936123.11,60.0
breakdown,CO2,AR-17,PL-6,2018-12-03,16182102.14,64.97000000000001
breakdown,CO2,AR-17,PL-6,2018-12-10,40105629.87,80.39999999999999
breakdown,CO2,AR-17,PL-6,2018-12-24,1078618.28,2.3
breakdown,CO2,AR-17,PL-6,2018-12-31,4836300.41,45.2
breakdown,CO2,AR-18,PL-1,2017-01-02,100500.0,91.5
breakdown,CO2,AR-18,PL-1,2017-02-06,12768009.440000001,57.5
breakdown,CO2,AR-18,PL-1,2017-02-13,482000.0,11.5
breakdown,CO2,AR-18,PL-1,2017-02-20,446000.0,7.5
breakdown,CO2,AR-18,PL-1,2017-02-27,423004.13,6.0
breakdown,CO2,AR-18,PL-1,2017-03-13,3167887.85,81.5
breakdown,CO2,AR-18,PL-1,2017-03-20,42517.0,28.0
breakdown,CO2,AR-18,PL-1,2017-04-03,92713.34,33.5
breakdown,CO2,AR-18,PL-1,2017-04-10,19248010.93,12.0
breakdown,CO2,AR-18,PL-1,2017-04-17,69187.84,10.0
breakdown,CO2,AR-18,PL-1,2017-05-08,2878518.24,92.5
breakdown,CO2,AR-18,PL-1,2017-05-15,463239.97,27.5
breakdown,CO2,AR-18,PL-1,2017-05-22,577392.18,32.5
breakdown,CO2,AR-18,PL-1,2017-06-05,111725.03,8.5
breakdown,CO2,AR-18,PL-1,2017-07-03,1767297.9600000002,44.0
breakdown,CO2,AR-18,PL-1,2017-07-24,145840.0,6.9
breakdown,CO2,AR-18,PL-1,2017-07-31,10955547.940000001,50.5
breakdown,CO2,AR-18,PL-1,2017-08-28,437519.99,15.0
breakdown,CO2,AR-18,PL-1,2017-10-02,522585.33,2.5
breakdown,CO2,AR-18,PL-1,2018-02-12,848000.0,66.60000000000001
breakdown,CO2,AR-18,PL-1,2018-03-12,1413000.0,49.6
breakdown,CO2,AR-18,PL-1,2018-04-02,169750.0,9.4
breakdown,CO2,AR-18,PL-1,2018-04-16,734584.0,2.4
breakdown,CO2,AR-18,PL-1,2018-05-07,3035917.1399999997,34.69999999999999
breakdown,CO2,AR-18,PL-1,2018-05-14,1542457.5899999999,35.8
breakdown,CO2,AR-18,PL-1,2018-06-04,16000.0,66.7
breakdown,CO2,AR-18,PL-1,2018-06-25,1152538.73,14.0
breakdown,CO2,AR-18,PL-1,2018-07-02,766498.38,14.899999999999999
breakdown,CO2,AR-18,PL-1,2018-08-06,886240.0,32.099999999999994
breakdown,CO2,AR-18,PL-1,2018-08-13,1379087.83,43.30000000000002
breakdown,CO2,AR-18,PL-1,2018-09-03,28645183.07,60.10000000000001
breakdown,CO2,AR-18,PL-1,2018-10-01,2514670.8,58.20000000000002
breakdown,CO2,AR-18,PL-1,2018-10-15,607144.4,6.7
breakdown,CO2,AR-18,PL-1,2018-11-05,1209428.42,86.10000000000002
breakdown,CO2,AR-18,PL-1,2018-11-12,712072.3400000001,26.099999999999998
breakdown,CO2,AR-18,PL-1,2018-11-19,3789605.38,86.50000000000003
breakdown,CO2,AR-18,PL-1,2018-11-26,8793.48,17.0
breakdown,CO2,AR-18,PL-1,2018-12-03,1268608.21,53.70000000000001
breakdown,CO2,AR-18,PL-1,2018-12-10,340800.0,9.5
breakdown,CO2,AR-18,PL-1,2018-12-31,49450.0,8.4
breakdown,CO2,AR-18,PL-2,2018-09-24,386662.61,12.0
breakdown,CO2,AR-18,PL-2,2018-11-12,90000.01,2.5
breakdown,CO2,AR-18,PL-2,2018-12-03,397693.28,3.0
breakdown,CO2,AR-18,PL-3,2017-03-13,3780.0,7.5
breakdown,CO2,AR-18,PL-3,2017-03-27,315000.0,18.0
breakdown,CO2,AR-18,PL-3,2017-05-08,1685834.03,10.0
breakdown,CO2,AR-18,PL-3,2017-06-05,2976739.9299999997,12.2
breakdown,CO2,AR-18,PL-3,2017-07-24,129000.0,2.0
breakdown,CO2,AR-18,PL-3,2017-10-02,3062253.48,4.0
breakdown,CO2,AR-18,PL-3,2017-11-06,3402581.6,1.8
breakdown,CO2,AR-18,PL-3,2018-03-19,598630.6799999999,9.8
breakdown,CO2,AR-18,PL-3,2018-04-23,295284.28,0.5
breakdown,CO2,AR-18,PL-3,2018-07-23,153503.85,2.6
breakdown,CO2,AR-18,PL-3,2018-09-03,2083666.67,18.3
breakdown,CO2,AR-18,PL-3,2018-10-08,11750725.67,34.2
breakdown,CO2,AR-18,PL-3,2018-11-26,478350.0,7.3
breakdown,CO2,AR-18,PL-3,2018-12-03,5975226.82,24.000000000000004
breakdown,CO2,AR-18,PL-4,2017-02-06,7543250.04,2.0
breakdown,CO2,AR-18,PL-4,2017-03-13,406000.0,2.0
breakdown,CO2,AR-18,PL-4,2017-03-27,4950.0,8.0
breakdown,CO2,AR-18,PL-4,2017-04-24,591131.86,2.0
breakdown,CO2,AR-18,PL-4,2017-06-05,237882.07,3.0
breakdown,CO2,AR-18,PL-4,2017-10-09,713646.0,5.0
breakdown,CO2,AR-18,PL-4,2018-03-19,492700.0,1.0
breakdown,CO2,AR-18,PL-4,2018-03-26,23090.55,1.0
breakdown,CO2,AR-18,PL-4,2018-04-16,1435000.0,8.0
breakdown,CO2,AR-18,PL-4,2018-05-21,387000.0,1.0
breakdown,CO2,AR-18,PL-4,2018-06-11,359665.8,12.0
breakdown,CO2,AR-18,PL-4,2018-07-16,675800.0,1.0
breakdown,CO2,AR-18,PL-4,2018-09-10,12890800.44,1.0
breakdown,CO2,AR-18,PL-4,2018-09-17,2183079.92,0.5
breakdown,CO2,AR-18,PL-4,2018-10-08,18975691.16,11.017
breakdown,CO2,AR-18,PL-4,2018-11-19,1342046.19,4.0
breakdown,CO2,AR-18,PL-4,2018-12-24,6307641.16,1.0
